Company name,Industry,Sector,Country,Type of Document,Report Period
Johnson Matthey PLC,Chemicals,Resource Transformation,Britain,SASB Index,2023
K+S AG,Chemicals,Resource Transformation,Germany,SASB Index,2023
Kansai Paint Co Ltd,Chemicals,Resource Transformation,Japan,SASB Index,2021
KCC Corp,Chemicals,Resource Transformation,South Korea,Sustainability Report,2022-2023
Kolon Industries Inc,Chemicals,Resource Transformation,South Korea,Sustainability Report,2022
Koninklijke DSM NV,Chemicals,Resource Transformation,Netherlands,Integrated Report,2022
Koppers Holdings Inc,Chemicals,Resource Transformation,United States,Sustainability Report,2022
Kraton Corp,Chemicals,Resource Transformation,United States,Sustainability Report,2022
Kumho Petrochemical Co Ltd,Chemicals,Resource Transformation,South Korea,Sustainability Report,2022
LANXESS AG,Chemicals,Resource Transformation,Germany,SASB Index,2021
LCY Chemical Corp,Chemicals,Resource Transformation,Taiwan,ESG Report,2021
LG Chem Ltd,Chemicals,Resource Transformation,South Korea,ESG Index,2022
Linde PLC,Chemicals,Resource Transformation,Britain,SASB Index,2021
Livent Corp,Chemicals,Resource Transformation,United States,Sustainability Report,2022
Lotte Chemical Corp,Chemicals,Resource Transformation,South Korea,Sustainability Report,2021
LOTTE Fine Chemical Co Ltd,Chemicals,Resource Transformation,South Korea,Sustainability Report,2021
LyondellBasell Industries NV,Chemicals,Resource Transformation,United States,Sustainability Report,2022
MEC Co Ltd,Chemicals,Resource Transformation,Japan,Sustainability Report,2023
Methanex Corp,Chemicals,Resource Transformation,Canada,Sustainability Report,2022
Minerals Technologies Inc.,Chemicals,Resource Transformation,United States,CSR Report,2022
Mosaic Co/The,Chemicals,Resource Transformation,United States,ESG Index,2022
Nan Pao Resins Chemical Co Ltd,Chemicals,Resource Transformation,Taiwan,Sustainability Report,2022
Nan Ya Plastics Corp,Chemicals,Resource Transformation,Taiwan,Sustainability Report,2022
Nippon Paint Holdings Co Ltd,Chemicals,Resource Transformation,Japan,Integrated Report,2022
Nissan Chemical Corp,Chemicals,Resource Transformation,Japan,SASB Index,2021
Nouryon Holding BV,Chemicals,Resource Transformation,Netherlands,Sustainability Report,2020
Nutrien Ltd,Chemicals,Resource Transformation,Canada,ESG Report,2023
OCI Co Ltd,Chemicals,Resource Transformation,South Korea,Integrated Report,2022
OCI NV,Chemicals,Resource Transformation,Netherlands,Annual Report,2022
OCP SA,Chemicals,Resource Transformation,Morocco,Sustainability Report,2022
Omnia Holdings Ltd,Chemicals,Resource Transformation,South Africa,ESG Report,2023
Orbia Advance Corp SAB de CV,Chemicals,Resource Transformation,Mexico,SASB Index,2022
Orica Ltd,Chemicals,Resource Transformation,Australia,SASB Index,2023
Perimeter Solutions SA,Chemicals,Resource Transformation,Luxembourg,SASB Report,2022
PhosAgro PJSC,Chemicals,Resource Transformation,Russia,Integrated Report,2022
PPG Industries Inc,Chemicals,Resource Transformation,United States,ESG Report,2022
PQ Group Holdings Inc,Chemicals,Resource Transformation,United States,Corporate Responsibility Reports,2019
Quaker Chemical Corp,Chemicals,Resource Transformation,United States,Sustainability Report,2022
Re:NewCell AB,Chemicals,Resource Transformation,Sweden,Sustainability Report,2022
RPM International Inc,Chemicals,Resource Transformation,United States,SASB Index,2021
Scotts Miracle-Gro Co/The,Chemicals,Resource Transformation,United States,CSR Report,2023
Sensient Technologies Corp,Chemicals,Resource Transformation,United States,Sustainability Report,2022
SGL Carbon SE,Chemicals,Resource Transformation,Germany,ESG FactBook,2023
Sherwin-Williams Co/The,Chemicals,Resource Transformation,United States,Sustainability Report,2022
Sika AG,Chemicals,Resource Transformation,Switzerland,SASB Index,2022
Sinon Corp,Chemicals,Resource Transformation,Taiwan,Sustainability Report,2021
SK Chemicals Co Ltd,Chemicals,Resource Transformation,South Korea,Sustainability Report,2022
SK Specialty Co Ltd,Chemicals,Resource Transformation,South Korea,Sustainability Report,2022
SKC Co Ltd,Chemicals,Resource Transformation,South Korea,Sustainability Report,2023
Sociedad Quimica y Minera de Chile SA,Chemicals,Resource Transformation,Chile,Reporte de Sostenibilidad,2021
Solvay SA,Chemicals,Resource Transformation,Belgium,Annual Report,2022
Soquimich Comercial SA,Chemicals,Resource Transformation,Chile,Reporte de Sostenibilidad,2021
Stepan Co,Chemicals,Resource Transformation,United States,Sustainability Report,2022
Swancor Holding Co Ltd,Chemicals,Resource Transformation,Taiwan,Sustainability Report,2021
Symrise AG,Chemicals,Resource Transformation,Germany,Sustainability Report,2022
Syngenta AG,Chemicals,Resource Transformation,Switzerland,ESG Report,2021
Taiwan Fertilizer Co Ltd,Chemicals,Resource Transformation,Taiwan,Sustainability Report,2022
Teijin Ltd,Chemicals,Resource Transformation,Japan,Integrated Report,2022
Thrace Plastics Holding and Co,Chemicals,Resource Transformation,Greece,Annual Report,2022
Tianqi Lithium Corp,Chemicals,Resource Transformation,China,Sustainability Report,2022
Toray Industries Inc,Chemicals,Resource Transformation,Japan,CSR Report,2021
Trinseo PLC,Chemicals,Resource Transformation,United States,Sustainability Report,2023
Tronox Holdings PLC,Chemicals,Resource Transformation,United States,Sustainability Report,2022
TSRC Corp,Chemicals,Resource Transformation,Taiwan,Sustainability Report,2021
Umicore SA,Chemicals,Resource Transformation,Belgium,ESG Index,2022
Univar Solutions Inc,Chemicals,Resource Transformation,United States,SASB Index,2022
USI Corp,Chemicals,Resource Transformation,Taiwan,ESG Report,2021
Valvoline Inc,Chemicals,Resource Transformation,United States,CSR Report,2022
Vittia Fertilizantes E Biologicos SA,Chemicals,Resource Transformation,Brazil,Relaório Anual,2021
W. R. Grace and Company,Chemicals,Resource Transformation,United States,Corporate Responsibility Reports,2020
Westlake Chemical Corp,Chemicals,Resource Transformation,United States,ESG Report,2022
Cabot Oil & Gas Corp,Chemicals,Resource Transformation,United States,Corporate Responsibility Reports,2019-2020
SK Holdings Co Ltd,Chemicals,Resource Transformation,South Korea,Sustainability Report,2021
